| NO   | NO EMP | PUESTO                 | APELLIDO PATERNO | APELLIDO MATERNO  | NOMBRE               | TELEFONO   | EDAD | SEXO       | ESTADO |
| 28   | 318084 | IngRed                 | GUERRERO         | PENA              | BEATRIZ              | 6461008420 | 36   | MUJER      | OC |
| 29   | 314588 | AsistAdm               | CASILLAS         | ESPINOZA          | MERCEDES             | 6461023105 | 31   | MUJER      | NL |
| 30   | 332687 | InvCien                | CASTANEDA        | VASQUEZ           | JOSE                 | 6461008462 | 22   | HOMBRE     | ZS |
| 31   | 306592 | RepVInt                | SOLIS            | CERVANTES         | VICTORIA             | 6461016366 | 49   | MUJER      | SR |
| 32   | 300086 | IngElec                | GOMEZ            | MACIAS            | JOSE                 | 6461017883 | 40   | HOMBRE     | YN |
| 33   | 312463 | Traduct                | SERRANO          | JIMENEZ           | DANIEL               | 6461003029 | 28   | HOMBRE     | MC |
| 34   | 301962 | ProfPrim               | CASILLAS         | GARZA             | JORGE                | 6461019758 | 44   | HOMBRE     | MN |
| 35   | 319038 | TrabSoc                | RAMOS            | CERVANTES         | SONIA                | 6461028704 | 38   | MUJER      | CC |
| 36   | 321539 | InvCien                | HERRERA          | MACIEL            | MARiA                | 6461005261 | 27   | MUJER      | SL |
| 37   | 319020 | Traduct                | SILVA            | DURAN             | CLARA                | 6461014084 | 32   | MUJER      | JC |
| 38   | 304915 | InvCien                | PACHECO          | CHACON            | SALVADOR             | 6461004293 | 21   | HOMBRE     | NL |
| 39   | 309384 | AsServ                 | VILLANUEVA       | CORDERO           | CONSUELO             | 6461013229 | 44   | MUJER      | ZS |
| 40   | 301773 | InvCien                | HIDALGO          | FERNANDEZ         | MARiA                | 6461031284 | 35   | MUJER      | TL |
| 41   | 332514 | IngRed                 | CAMACHO          | RAMIREZ           | ENRIQUE              | 6461031960 | 47   | HOMBRE     | GR |
| 42   | 324454 | AnlVent                | BARRIOS          | SUAREZ            | SOFIA                | 6461014619 | 19   | MUJER      | ZS |
| 43   | 312177 | AnlSist                | SOSA             | SOSA              | NATALIA              | 6461005089 | 27   | MUJER      | DF |
| 44   | 311955 | IngCivil               | GUERRERO         | ALVARADO          | ENRIQUE              | 6461031404 | 19   | HOMBRE     | QT |
| 45   | 325077 | IngCivil               | SOTO             | HIDALGO           | MERCEDES             | 6461027488 | 49   | MUJER      | CC |
| 46   | 321809 | EspSeg                 | SALAZAR          | OSORIO            | ARMANDO              | 6461011952 | 47   | HOMBRE     | VZ |
| 47   | 316805 | AsServ                 | RIVERA           | SOTO              | SONIA                | 6461025212 | 35   | MUJER      | SL |
| 48   | 326371 | PsOrg                  | VALENCIA         | VARGAS            | MIGUEL               | 6461020212 | 43   | HOMBRE     | TC |
| 49   | 332094 | TecSup                 | SERRANO          | SOTO              | ANTONIO              | 6461020131 | 21   | HOMBRE     | DG |
| 50   | 320770 | DisGraf                | URIBE            | TOVAR             | MARiA                | 6461003301 | 41   | MUJER      | DG |
| 51   | 305204 | IngCivil               | SOSA             | SUAREZ            | NATALIA              | 6461009033 | 47   | MUJER      | CS |
| 52   | 307089 | ConsFin                | CERVANTES        | LARA              | EDUARDO              | 6461009976 | 43   | HOMBRE     | GT |
| 53   | 329939 | RepVInt                | DELGADO          | VEGA              | ARMANDO              | 6461016342 | 20   | HOMBRE     | JC |
| 54   | 301533 | IngRed                 | RIVERA           | LARA              | ERNESTO              | 6461001757 | 38   | HOMBRE     | TC |
| 55   | 322129 | EspLog                 | ROSALES          | GARZA             | JORGE                | 6461030194 | 31   | HOMBRE     | CS |
| 56   | 332199 | RepVInt                | ALVAREZ          | VALENZUELA        | MIGUEL               | 6461012940 | 47   | HOMBRE     | OC |
| 57   | 312679 | DevSoft                | DURAN            | SILVA             | ANA                  | 6461001740 | 23   | MUJER      | PL |
| 58   | 310673 | EdCont                 | LEON             | SOTO              | HECTOR               | 6461023972 | 46   | HOMBRE     | QT |
| 59   | 308700 | EspRRHH                | QUINTERO         | VALENZUELA        | AURORA               | 6461013329 | 31   | MUJER      | CL |
| 60   | 330398 | DisGraf                | CASILLAS         | ESPINOZA          | EMILIO               | 6461021946 | 29   | HOMBRE     | GT |
| 61   | 306644 | GteProj                | LEAL             | ROJAS             | EMILIO               | 6461008621 | 43   | HOMBRE     | TS |
| 62   | 325420 | GteProj                | HERRERA          | MENDOZA           | SOFIA                | 6461027535 | 30   | MUJER      | BS |
| 63   | 331006 | EspLog                 | ROJAS            | SERRANO           | ALEJANDRA            | 6461014217 | 18   | MUJER      | TC |
| 64   | 311757 | ChefEje                | MEDINA           | ROMAN             | FRANCISCO            | 6461011327 | 37   | HOMBRE     | NE |
| 65   | 307479 | RepVInt                | PACHECO          | IGLESIAS          | PATRICIA             | 6461001769 | 23   | MUJER      | ZS |
| 66   | 311532 | AnlSist                | MORENO           | LARA              | JULIA                | 6461002277 | 32   | MUJER      | TL |
| 67   | 311892 | AnlVent                | DURAN            | CASTILLO          | ERNESTO              | 6461032021 | 20   | HOMBRE     | YN |
| 68   | 329761 | MedGen                 | CORDERO          | GARZA             | JULIA                | 6461016466 | 36   | MUJER      | MC |
| 69   | 304571 | MedGen                 | ESPINOSA         | HIDALGO           | EDUARDO              | 6461030061 | 34   | HOMBRE     | VZ |
| 70   | 307865 | Enferm                 | DIAZ             | GARZA             | ANTONIA              | 6461019902 | 22   | MUJER      | TL |
| 71   | 323695 | EspERen                | MENDOZA          | BELTRAN           | ARTURO               | 6461005920 | 38   | HOMBRE     | VZ |
| 72   | 310797 | ChefEje                | ESCOBAR          | BAUTISTA          | CARLOS               | 6461006310 | 27   | HOMBRE     | CM |
| 73   | 311930 | AnMktDg                | ROMAN            | RIOS              | GLORIA               | 6461026390 | 22   | MUJER      | SP |
| 74   | 321553 | AsServ                 | ESPINOZA         | ROJAS             | SONIA                | 6461029994 | 42   | MUJER      | CS |
| 75   | 320666 | AnlDatos               | CRUZ             | MENDEZ            | FRANCISCO            | 6461009429 | 26   | HOMBRE     | PL |
| 76   | 329666 | AsServ                 | CASTILLO         | GARZA             | ROSA                 | 6461000432 | 27   | MUJER      | NE |
| 77   | 308256 | TrabSoc                | CASILLAS         | OCHOA             | JORGE                | 6461031077 | 32   | HOMBRE     | GT |
| 78   | 325667 | DevSoft                | SANDOVAL         | MACIEL            | ENRIQUE              | 6461026005 | 21   | HOMBRE     | PL |
| 79   | 303325 | AsServ                 | PARDO            | PENA              | JAVIER               | 6461016761 | 44   | HOMBRE     | CS |
| 80   | 320418 | Enferm                 | RIVERA           | MORA              | FRANCISCO            | 6461013868 | 42   | HOMBRE     | MS |
| 81   | 300209 | EspLog                 | SILVA            | DURAN             | HECTOR               | 6461024691 | 38   | HOMBRE     | CL |
| 82   | 307103 | DisUX                  | LARA             | ROJAS             | ERNESTO              | 6461008808 | 35   | HOMBRE     | NL |
| 83   | 317761 | ProfPrim               | RIOS             | ARIAS             | CONSUELO             | 6461008183 | 23   | MUJER      | CH |
| 84   | 325360 | IngCivil               | PENA             | CAMACHO           | OSCAR                | 6461019164 | 38   | HOMBRE     | QT |
| 85   | 313293 | Arquitect              | GUZMAN           | SOTO              | CARMEN               | 6461014374 | 30   | MUJER      | SR |
| 86   | 328876 | ConsFin                | RAMIREZ          | MORA              | CARMEN               | 6461010994 | 24   | MUJER      | YN |
| 87   | 331859 | IngElec                | SOTO             | VASQUEZ           | RAQUEL               | 6461018107 | 22   | MUJER      | HG |
| 88   | 304331 | AnMktDg                | PACHECO          | GONZALES          | JOSE                 | 6461000402 | 49   | HOMBRE     | NT |
| 89   | 327763 | ProfPrim               | VALENZUELA       | ZAMORA            | MANUEL               | 6461018339 | 44   | HOMBRE     | DG |
| 90   | 325212 | EspRRHH                | NUNEZ            | FLORES            | GABRIELA             | 6461002696 | 37   | MUJER      | TS |
| 91   | 308973 | Abogado                | VARELA           | PARDO             | ALEJANDRA            | 6461008131 | 19   | MUJER      | AG |
| 92   | 312156 | AnMktDg                | VALENCIA         | TORRES            | ARMANDO              | 6461026479 | 30   | HOMBRE     | NE |
| 93   | 324419 | AsServ                 | LEAL             | DIAZ              | ANTONIA              | 6461002822 | 31   | MUJER      | GT |
| 94   | 314492 | IngElec                | CALZADA          | CORDERO           | ANTONIA              | 6461007658 | 35   | MUJER      | OC |
| 95   | 324402 | ChefEje                | CERVANTES        | PAREDES           | ROSA                 | 6461020722 | 49   | MUJER      | TL |
| 96   | 328525 | Enferm                 | CASTILLO         | CASTANEDA         | ALEJANDRA            | 6461025195 | 19   | MUJER      | BC |
| 97   | 326631 | IngCivil               | PENA             | CAMACHO           | ALEJANDRA            | 6461005967 | 33   | MUJER      | GR |
| 98   | 322479 | DisGraf                | MIRANDA          | ESPINOSA          | HECTOR               | 6461020967 | 29   | HOMBRE     | VZ |
| 99   | 324314 | PsOrg                  | BELTRAN          | AGUILAR           | ARMANDO              | 6461004261 | 22   | HOMBRE     | SP |
| 100  | 318844 | AnMktDg                | TORRES           | HERNANDEZ         | LOURDES              | 6461004631 | 30   | MUJER      | NL |
| 101  | 308531 | EspLog                 | VARELA           | DIAZ              | GUILLERMO            | 6461011422 | 48   | HOMBRE     | CM |
| 102  | 307645 | EspLog                 | VARELA           | TORRES            | OSCAR                | 6461024386 | 47   | HOMBRE     | TS |
| 103  | 322734 | ChefEje                | SUAREZ           | ROSALES           | ALBERTO              | 6461027274 | 30   | HOMBRE     | TS |
| 104  | 301807 | PsOrg                  | ROSALES          | CERVANTES         | ALBERTO              | 6461010145 | 28   | HOMBRE     | DG |
| 105  | 314475 | DevSoft                | MORA             | SOTO              | RAQUEL               | 6461002721 | 35   | MUJER      | TC |
| 106  | 331302 | DisGraf                | CAMACHO          | NUNEZ             | JULIA                | 6461018390 | 35   | MUJER      | MS |
| 107  | 308565 | TecSup                 | GUZMAN           | DELGADO           | FRANCISCO            | 6461010415 | 50   | HOMBRE     | GT |
| 108  | 314121 | EspRRHH                | CERVANTES        | LOPEZ             | MARTA                | 6461006423 | 31   | MUJER      | SR |
| 109  | 332038 | EdCont                 | VARELA           | TOVAR             | CLARA                | 6461023372 | 30   | MUJER      | QT |
| 110  | 314109 | AnMktDg                | VILLANUEVA       | CHACON            | JUAN                 | 6461006391 | 41   | HOMBRE     | HG |
| 111  | 330575 | Traduct                | LEON             | SALAZAR           | CLARA                | 6461021720 | 28   | MUJER      | NE |
| 112  | 310269 | DisUX                  | PARDO            | MALDONADO         | ARMANDO              | 6461021487 | 30   | HOMBRE     | GT |
| 113  | 329169 | ProfPrim               | AGUILAR          | DELGADO           | PAULA                | 6461018377 | 48   | MUJER      | TS |
| 114  | 309746 | EdCont                 | RUBIO            | OSORIO            | MARiA                | 6461014106 | 49   | MUJER      | MS |
| 115  | 327232 | DisGraf                | DELGADO          | VASQUEZ           | CARLOS               | 6461001556 | 47   | HOMBRE     | BS |
| 116  | 313729 | AnlSist                | RAMIREZ          | SOTO              | AURORA               | 6461021189 | 35   | MUJER      | BS |
| 117  | 325461 | DevSoft                | PENA             | BARRIOS           | ISRAEL               | 6461002993 | 45   | HOMBRE     | NE |
| 118  | 309678 | Arquitect              | LOPEZ            | OCHOA             | ALEJANDRO            | 6461014007 | 49   | HOMBRE     | CH |
| 119  | 300401 | IngCivil               | HERRERA          | MACIAS            | MIGUEL               | 6461028305 | 39   | HOMBRE     | NE |
| 120  | 300486 | EspLog                 | TOVAR            | SERRANO           | GLORIA               | 6461014949 | 37   | MUJER      | CS |
| 121  | 318332 | ProfPrim               | VALDES           | MEDINA            | FRANCISCO            | 6461006780 | 34   | HOMBRE     | BS |
| 122  | 313190 | DisGraf                | CALZADA          | CONTRERAS         | PEDRO                | 6461001645 | 34   | HOMBRE     | ZS |
| 123  | 301459 | DisUX                  | VASQUEZ          | ARIAS             | DANIEL               | 6461023982 | 29   | HOMBRE     | YN |
| 124  | 327846 | RepVInt                | ESPINOSA         | CALZADA           | JUAN                 | 6461025099 | 26   | HOMBRE     | CC |
| 125  | 327281 | Traduct                | BELTRAN          | VARELA            | FRANCISCO            | 6461011060 | 18   | HOMBRE     | QT |
| 126  | 331945 | InvCien                | SALAZAR          | VASQUEZ           | MARIO                | 6461028262 | 50   | HOMBRE     | QT |
| 127  | 304580 | EspSeg                 | REYES            | SOLANO            | SOFIA                | 6461010833 | 38   | MUJER      | NT |
| 128  | 323870 | AnMktDg                | BARRIOS          | ROMERO            | ANTONIO              | 6461027367 | 26   | HOMBRE     | YN |
| 129  | 311495 | ProfPrim               | CASILLAS         | ROJAS             | SILVIA               | 6461015984 | 29   | MUJER      | BC |
| 130  | 309627 | DevSoft                | CRUZ             | VALENZUELA        | ANA                  | 6461010491 | 28   | MUJER      | MC |
| 131  | 320470 | ChefEje                | HERRERA          | VEGA              | GUILLERMO            | 6461014713 | 38   | HOMBRE     | QR |
| 132  | 312573 | EspRRHH                | HERRERA          | ESPINOZA          | ISRAEL               | 6461019174 | 30   | HOMBRE     | DG |
| 133  | 322269 | InvCien                | GONZALES         | MORA              | ROBERTO              | 6461029310 | 43   | HOMBRE     | MC |
| 134  | 314023 | AnMktDg                | FLORES           | AGUILAR           | FRANCISCO            | 6461006298 | 44   | HOMBRE     | NT |
| 135  | 301005 | IngElec                | VASQUEZ          | ZAMORA            | JULIA                | 6461005397 | 23   | MUJER      | SR |
| 136  | 326364 | AsistAdm               | CALZADA          | MACIEL            | RAUL                 | 6461028334 | 30   | HOMBRE     | TL |
| 137  | 317823 | IngCivil               | ESPINOZA         | VASQUEZ           | ERNESTO              | 6461014817 | 39   | HOMBRE     | BS |
| 138  | 326735 | AnlVent                | VASQUEZ          | RAMOS             | JUAN                 | 6461024294 | 46   | HOMBRE     | SL |
| 139  | 319144 | ConsFin                | CORDERO          | CASTILLO          | ROSA                 | 6461018197 | 40   | MUJER      | MS |
| 140  | 322128 | ProfPrim               | MORA             | LOPEZ             | ALBERTO              | 6461022249 | 25   | HOMBRE     | BS |
| 141  | 329679 | DisGraf                | CASTILLO         | CORDERO           | SALVADOR             | 6461018428 | 35   | HOMBRE     | VZ |
| 142  | 315590 | AsistAdm               | VARELA           | URIBE             | SILVIA               | 6461022815 | 30   | MUJER      | MS |
| 143  | 312419 | GteProj                | GUZMAN           | AGUILAR           | ANTONIO              | 6461027841 | 38   | HOMBRE     | YN |
| 144  | 302685 | IngElec                | ROJAS            | ARIAS             | PAULA                | 6461021702 | 28   | MUJER      | SL |
| 145  | 309860 | Traduct                | PAREDES          | FERNANDEZ         | ALBERTO              | 6461018446 | 33   | HOMBRE     | DG |
| 146  | 308129 | EspRRHH                | ESCOBAR          | ORTIZ             | EDUARDO              | 6461017859 | 27   | HOMBRE     | CH |
| 147  | 300347 | AsistAdm               | GOMEZ            | SOTO              | JORGE                | 6461013896 | 45   | HOMBRE     | HG |
| 148  | 304684 | AnMktDg                | PACHECO          | CERVANTES         | ERNESTO              | 6461018875 | 42   | HOMBRE     | TC |
| 149  | 315314 | PsOrg                  | MORENO           | MERCADO           | CLARA                | 6461012897 | 22   | MUJER      | SR |
| 150  | 332042 | GteProj                | VARELA           | ROMAN             | FERNANDO             | 6461006003 | 49   | HOMBRE     | GT |
| 151  | 331315 | AsServ                 | PAREDES          | CAMACHO           | JUAN                 | 6461018075 | 25   | HOMBRE     | TS |
| 152  | 323583 | EspSeg                 | LARA             | SOTO              | JULIA                | 6461003726 | 32   | MUJER      | GT |
| 153  | 326060 | Enferm                 | PARDO            | ESPINOSA          | MANUEL               | 6461021437 | 44   | HOMBRE     | MC |
| 154  | 301399 | TrabSoc                | MORENO           | ORTIZ             | LAURA                | 6461014618 | 50   | MUJER      | OC |
| 155  | 315605 | ConsFin                | MACIAS           | ESCOBAR           | ANTONIA              | 6461010106 | 48   | MUJER      | CL |
| 156  | 328291 | MedGen                 | CABRERA          | ROJAS             | HECTOR               | 6461026005 | 48   | HOMBRE     | CH |
| 157  | 320679 | ChefEje                | LEAL             | SOLANO            | JULIA                | 6461023329 | 32   | MUJER      | SL |
| 158  | 304346 | IngRed                 | FERNANDEZ        | SOTO              | JAVIER               | 6461018251 | 37   | HOMBRE     | NL |
| 159  | 310844 | InvCien                | SALAZAR          | RAMIREZ           | GABRIELA             | 6461017869 | 23   | MUJER      | SL |
| 160  | 305063 | TrabSoc                | RIOS             | ESPINOSA          | RAUL                 | 6461007227 | 24   | HOMBRE     | TS |
| 161  | 331648 | EspSeg                 | CERVANTES        | MENENDEZ          | ISABEL               | 6461000435 | 35   | MUJER      | GT |
| 162  | 322552 | AnlVent                | MORENO           | ALVARADO          | JORGE                | 6461000746 | 20   | HOMBRE     | YN |
| 163  | 302417 | ConsFin                | HERNANDEZ        | HERNANDEZ         | MARTA                | 6461010807 | 30   | MUJER      | ZS |
| 164  | 319371 | Traduct                | CABRERA          | MALDONADO         | SONIA                | 6461016325 | 30   | MUJER      | SP |
| 165  | 317696 | ConsFin                | LEON             | ESTRELLA          | RICARDO              | 6461008438 | 29   | HOMBRE     | NE |
| 166  | 329599 | Enferm                 | CAMACHO          | SUAREZ            | JOSE                 | 6461000269 | 43   | HOMBRE     | CS |
| 167  | 307283 | DevSoft                | ALVAREZ          | VALDES            | SALVADOR             | 6461025064 | 29   | HOMBRE     | DG |
| 168  | 305979 | Abogado                | VALENCIA         | RUBIO             | ARTURO               | 6461002389 | 21   | HOMBRE     | TS |
| 169  | 329341 | AnlSist                | MORA             | SOTO              | FERNANDO             | 6461019261 | 46   | HOMBRE     | NE |
| 170  | 322866 | InvCien                | PAREDES          | GONZALES          | ELENA                | 6461023586 | 19   | MUJER      | HG |
| 171  | 302492 | IngCivil               | PAREDES          | VEGA              | NATALIA              | 6461019377 | 34   | MUJER      | MN |
| 172  | 329598 | IngRed                 | CABRERA          | VEGA              | LUIS                 | 6461025902 | 43   | HOMBRE     | TC |
| 173  | 313283 | DisGraf                | LEON             | ROJAS             | NATALIA              | 6461014942 | 45   | MUJER      | CC |
| 174  | 318632 | TrabSoc                | SOLANO           | VALENZUELA        | SALVADOR             | 6461027220 | 27   | HOMBRE     | DG |
| 175  | 315297 | IngRed                 | MUNGUIA          | VEGA              | ISABEL               | 6461015708 | 35   | MUJER      | GT |
| 176  | 305449 | EspRRHH                | HERNANDEZ        | MENDEZ            | SONIA                | 6461014649 | 48   | MUJER      | SL |
| 177  | 326708 | EspSeg                 | PAREDES          | RIOS              | ALEJANDRA            | 6461010410 | 30   | MUJER      | BS |
| 178  | 323670 | Arquitect              | CERVANTES        | MOLINA            | ADRIANA              | 6461015657 | 44   | MUJER      | MS |
| 179  | 307257 | EspRRHH                | MIRANDA          | LEAL              | PATRICIA             | 6461013627 | 41   | MUJER      | TS |
| 180  | 315352 | DisUX                  | GONZALES         | VALENCIA          | JORGE                | 6461020166 | 42   | HOMBRE     | TS |
| 181  | 310573 | GteProj                | GOMEZ            | URIBE             | ARMANDO              | 6461026651 | 20   | HOMBRE     | CS |
| 182  | 313064 | TecSup                 | FERNANDEZ        | MOLINA            | ALEJANDRO            | 6461028271 | 49   | HOMBRE     | AG |
| 183  | 320288 | ProfPrim               | OSORIO           | VALENCIA          | ERNESTO              | 6461003072 | 32   | HOMBRE     | DF |
| 184  | 312031 | TecSup                 | CASTANEDA        | CASTILLO          | JUAN                 | 6461000917 | 50   | HOMBRE     | CL |
| 185  | 324010 | EspRRHH                | MEDINA           | VARELA            | PEDRO                | 6461019406 | 45   | HOMBRE     | NT |
| 186  | 325847 | DevSoft                | SILVA            | HERNANDEZ         | NATALIA              | 6461032343 | 32   | MUJER      | CS |
| 187  | 320445 | TecSup                 | ROJAS            | SILVA             | SILVIA               | 6461023247 | 31   | MUJER      | YN |
| 188  | 314492 | ProfPrim               | CASTILLO         | ROLDAN            | JULIA                | 6461009750 | 38   | MUJER      | SP |
| 189  | 323372 | RepVInt                | ORTIZ            | ROJAS             | FRANCISCO            | 6461014258 | 37   | HOMBRE     | TL |
| 190  | 314934 | Abogado                | VEGA             | MEDINA            | JORGE                | 6461018146 | 46   | HOMBRE     | TC |
| 191  | 305698 | AnlVent                | ALVAREZ          | GOMEZ             | ALBERTO              | 6461002448 | 24   | HOMBRE     | CS |
| 192  | 313168 | ProfPrim               | MIRANDA          | CHACON            | OSCAR                | 6461008431 | 40   | HOMBRE     | MN |
| 193  | 322521 | IngCivil               | MACIAS           | GUERRERO          | SALVADOR             | 6461027265 | 34   | HOMBRE     | CS |
| 194  | 321743 | GteProj                | VARELA           | RIOS              | FERNANDO             | 6461018554 | 29   | HOMBRE     | NT |
| 195  | 310099 | EspRRHH                | REYES            | CONTRERAS         | ANTONIO              | 6461014729 | 18   | HOMBRE     | SP |
| 196  | 332303 | Traduct                | GUERRERO         | SOSA              | ALBERTO              | 6461022974 | 34   | HOMBRE     | SR |
| 197  | 312804 | InvCien                | ORTIZ            | LOPEZ             | PEDRO                | 6461021997 | 20   | HOMBRE     | MS |
| 198  | 317037 | Arquitect              | CONTRERAS        | FERNANDEZ         | ROSA                 | 6461021475 | 26   | MUJER      | CL |
| 199  | 313546 | ChefEje                | GOMEZ            | URIBE             | MIGUEL               | 6461000042 | 42   | HOMBRE     | MN |
| 200  | 327029 | GteProj                | ESPINOZA         | QUINTERO          | PATRICIA             | 6461026398 | 43   | MUJER      | NL |
| 201  | 320557 | GteProj                | ESCOBAR          | TOVAR             | ADRIANA              | 6461006429 | 20   | MUJER      | NT |
| 202  | 311161 | ProfPrim               | IGLESIAS         | CASTANEDA         | FERNANDO             | 6461021843 | 35   | HOMBRE     | PL |
| 203  | 312121 | AnMktDg                | MORA             | SOTO              | AURORA               | 6461009769 | 30   | MUJER      | OC |
| 204  | 329851 | EspRRHH                | TOVAR            | OCHOA             | ALBERTO              | 6461000494 | 31   | HOMBRE     | TC |
| 205  | 308267 | IngRed                 | PACHECO          | CHACON            | JAVIER               | 6461029018 | 30   | HOMBRE     | QT |
| 206  | 304586 | AsServ                 | GONZALES         | ROJAS             | PILAR                | 6461017630 | 21   | MUJER      | DF |
| 207  | 328848 | AnlSist                | CASTILLO         | ESPINOSA          | LOURDES              | 6461024273 | 29   | MUJER      | AG |
| 208  | 327370 | TrabSoc                | CABRERA          | ROJAS             | SILVIA               | 6461021967 | 28   | MUJER      | QR |
| 209  | 329992 | IngRed                 | VALENCIA         | CRUZ              | GABRIELA             | 6461013572 | 30   | MUJER      | QT |
| 210  | 321463 | AnlDatos               | GARZA            | ALVARADO          | ERNESTO              | 6461000022 | 44   | HOMBRE     | SR |
| 211  | 324929 | DevSoft                | RIOS             | VALENZUELA        | CARLOS               | 6461011157 | 23   | HOMBRE     | CC |
| 212  | 314734 | AnlVent                | LEAL             | VALENCIA          | GABRIELA             | 6461005357 | 28   | MUJER      | CC |
| 213  | 319501 | InvCien                | MIRANDA          | MOLINA            | ROSA                 | 6461011465 | 39   | MUJER      | NT |
| 214  | 326513 | DisGraf                | SUAREZ           | RIVERA            | OSCAR                | 6461004338 | 22   | HOMBRE     | DG |
| 215  | 315585 | IngCivil               | URIBE            | MORENO            | SUSANA               | 6461024554 | 26   | MUJER      | BC |
| 216  | 303565 | IngCivil               | MOLINA           | NUNEZ             | FRANCISCO            | 6461029442 | 33   | HOMBRE     | CH |
| 217  | 314943 | Abogado                | ZAMORA           | ALVAREZ           | ADRIANA              | 6461024344 | 30   | MUJER      | MC |
| 218  | 300686 | Contado                | BELTRAN          | MERCADO           | LUIS                 | 6461009709 | 27   | HOMBRE     | SR |
| 219  | 322897 | AnlSist                | URIBE            | CASILLAS          | AURORA               | 6461031061 | 23   | MUJER      | PL |
| 220  | 304856 | EdCont                 | MACIEL           | SOTO              | HECTOR               | 6461027542 | 43   | HOMBRE     | TL |
| 221  | 301897 | ChefEje                | ROLDAN           | SERRANO           | ISRAEL               | 6461008658 | 43   | HOMBRE     | MS |
| 222  | 308711 | AsistAdm               | MACIAS           | TORRES            | PEDRO                | 6461016241 | 42   | HOMBRE     | YN |
| 223  | 305917 | TecSup                 | PARDO            | SUAREZ            | ALEJANDRA            | 6461016321 | 40   | MUJER      | ZS |
| 224  | 324738 | RepVInt                | ARIAS            | MENDEZ            | JAVIER               | 6461030602 | 25   | HOMBRE     | VZ |
| 225  | 314779 | Arquitect              | CERVANTES        | CABRERA           | ENRIQUE              | 6461001601 | 27   | HOMBRE     | MS |
| 226  | 309670 | RepVInt                | SOTO             | BARRIOS           | JULIA                | 6461022133 | 21   | MUJER      | NE |
